date,average spend
10,473.4666666666667
11,567.3000000000001
12,662.2433333333333
13,713.8066666666667
14,861.7566666666667
15,900.7033333333333
16,1036.63
17,1099.1366666666665
18,1407.4533333333336
19,1477.1833333333334
20,1540.3733333333332
21,1591.4966666666667
22,1816.8833333333334
23,1835.0633333333333
24,1896.9266666666665
25,2166.0099999999998
26,2237.0433333333335
27,2505.4333333333334
28,2614.2566666666667
29,2702.12
30,2776.616666666667
31,2801.123333333333
09,427.34999999999997
08,390.15000000000003
07,361.16333333333336
06,306.8666666666666
05,184.8166666666667
04,104.90666666666668
03,0
02,0
01,0